ConsumerType1,ConsumerType2,ModelGeography,SubGeography1,SubGeography2,Year,Penetration
RURAL,Q1,INDIA,ER,OD,2027,0
RURAL,Q2,INDIA,ER,OD,2027,0
RURAL,Q3,INDIA,ER,OD,2027,0
RURAL,Q4,INDIA,ER,OD,2027,0
RURAL,Q5,INDIA,ER,OD,2027,0
RURAL,Q1,INDIA,SR,KA,2027,0
RURAL,Q2,INDIA,SR,KA,2027,0
RURAL,Q3,INDIA,SR,KA,2027,0
RURAL,Q4,INDIA,SR,KA,2027,0
RURAL,Q5,INDIA,SR,KA,2027,0
RURAL,Q1,INDIA,ER,OD,2028,0
RURAL,Q2,INDIA,ER,OD,2028,0
RURAL,Q3,INDIA,ER,OD,2028,0
RURAL,Q4,INDIA,ER,OD,2028,0
RURAL,Q5,INDIA,ER,OD,2028,0
RURAL,Q1,INDIA,SR,KA,2028,0
RURAL,Q2,INDIA,SR,KA,2028,0
RURAL,Q3,INDIA,SR,KA,2028,0
RURAL,Q4,INDIA,SR,KA,2028,0
RURAL,Q5,INDIA,SR,KA,2028,0
RURAL,Q1,INDIA,ER,OD,2029,0
RURAL,Q2,INDIA,ER,OD,2029,0
RURAL,Q3,INDIA,ER,OD,2029,0
RURAL,Q4,INDIA,ER,OD,2029,0
RURAL,Q5,INDIA,ER,OD,2029,0
RURAL,Q1,INDIA,SR,KA,2029,0
RURAL,Q2,INDIA,SR,KA,2029,0
RURAL,Q3,INDIA,SR,KA,2029,0
RURAL,Q4,INDIA,SR,KA,2029,0
RURAL,Q5,INDIA,SR,KA,2029,0
RURAL,Q1,INDIA,ER,OD,2030,0
RURAL,Q2,INDIA,ER,OD,2030,0
RURAL,Q3,INDIA,ER,OD,2030,0
RURAL,Q4,INDIA,ER,OD,2030,0
RURAL,Q5,INDIA,ER,OD,2030,0
RURAL,Q1,INDIA,SR,KA,2030,0
RURAL,Q2,INDIA,SR,KA,2030,0
RURAL,Q3,INDIA,SR,KA,2030,0
RURAL,Q4,INDIA,SR,KA,2030,0
RURAL,Q5,INDIA,SR,KA,2030,0
RURAL,Q1,INDIA,ER,OD,2031,0
RURAL,Q2,INDIA,ER,OD,2031,0
RURAL,Q3,INDIA,ER,OD,2031,0
RURAL,Q4,INDIA,ER,OD,2031,0
RURAL,Q5,INDIA,ER,OD,2031,0
RURAL,Q1,INDIA,SR,KA,2031,0
RURAL,Q2,INDIA,SR,KA,2031,0
RURAL,Q3,INDIA,SR,KA,2031,0
RURAL,Q4,INDIA,SR,KA,2031,0
RURAL,Q5,INDIA,SR,KA,2031,0
RURAL,Q1,INDIA,WR,GA,2021,0
RURAL,Q2,INDIA,WR,GA,2021,0
RURAL,Q3,INDIA,WR,GA,2021,0
