EnergyConvTech,Year,ModelGeography,SubGeography1,LegacyRetirement
EG_COAL,2021,INDIA,ER,0.0
EG_COAL,2021,INDIA,NER,0.0
EG_COAL,2021,INDIA,NR,0.0
EG_COAL,2021,INDIA,SR,0.0
EG_COAL,2021,INDIA,WR,0.0
EG_COAL,2022,INDIA,ER,0.13
EG_COAL,2022,INDIA,NER,0.0
EG_COAL,2022,INDIA,NR,1.0
EG_COAL,2022,INDIA,SR,0.9219999999999999
EG_COAL,2022,INDIA,WR,1.98
EG_COAL,2023,INDIA,ER,0.0
EG_COAL,2023,INDIA,NER,0.0
EG_COAL,2023,INDIA,NR,0.6
EG_COAL,2023,INDIA,SR,0.0
EG_COAL,2023,INDIA,WR,1.04
EG_COAL,2024,INDIA,ER,0.0
EG_COAL,2024,INDIA,NER,0.0
EG_COAL,2024,INDIA,NR,0.4
EG_COAL,2024,INDIA,SR,0.2
EG_COAL,2024,INDIA,WR,0.82
EG_COAL,2025,INDIA,ER,0.21
EG_COAL,2025,INDIA,NER,0.0
EG_COAL,2025,INDIA,NR,0.0
EG_COAL,2025,INDIA,SR,0.4
EG_COAL,2025,INDIA,WR,0.331
EG_COAL,2026,INDIA,ER,2.925
EG_COAL,2026,INDIA,NER,0.0
EG_COAL,2026,INDIA,NR,2.339
EG_COAL,2026,INDIA,SR,7.01
EG_COAL,2026,INDIA,WR,1.875
EG_COAL,2027,INDIA,ER,0.2
EG_COAL,2027,INDIA,NER,0.0
EG_COAL,2027,INDIA,NR,0.92
EG_COAL,2027,INDIA,SR,0.0
EG_COAL,2027,INDIA,WR,0.21
EG_COAL,2028,INDIA,ER,0.2
EG_COAL,2028,INDIA,NER,0.0
EG_COAL,2028,INDIA,NR,1.21
EG_COAL,2028,INDIA,SR,0.0
EG_COAL,2028,INDIA,WR,1.42
EG_COAL,2029,INDIA,ER,0.0
EG_COAL,2029,INDIA,NER,0.0
EG_COAL,2029,INDIA,NR,0.63
EG_COAL,2029,INDIA,SR,1.0
EG_COAL,2029,INDIA,WR,1.251
EG_COAL,2030,INDIA,ER,0.0
EG_COAL,2030,INDIA,NER,0.0
EG_COAL,2030,INDIA,NR,0.71
EG_COAL,2030,INDIA,SR,0.5
EG_COAL,2030,INDIA,WR,0.84
EG_COAL,2031,INDIA,ER,0.488
EG_COAL,2031,INDIA,NER,0.0
EG_COAL,2031,INDIA,NR,0.0
EG_COAL,2031,INDIA,SR,0.0
EG_COAL,2031,INDIA,WR,0.71
EG_CCGT,2021,INDIA,ER,0.0
EG_CCGT,2021,INDIA,NER,0.0
EG_CCGT,2021,INDIA,NR,0.0
EG_CCGT,2021,INDIA,SR,0.0
EG_CCGT,2021,INDIA,WR,0.0
EG_CCGT,2022,INDIA,ER,0.0
EG_CCGT,2022,INDIA,NER,0.0
EG_CCGT,2022,INDIA,NR,0.0
EG_CCGT,2022,INDIA,SR,0.0
EG_CCGT,2022,INDIA,WR,0.0
EG_CCGT,2023,INDIA,ER,0.0
EG_CCGT,2023,INDIA,NER,0.0
EG_CCGT,2023,INDIA,NR,0.0
EG_CCGT,2023,INDIA,SR,0.0
EG_CCGT,2023,INDIA,WR,0.0
EG_CCGT,2024,INDIA,ER,0.0
EG_CCGT,2024,INDIA,NER,0.0
EG_CCGT,2024,INDIA,NR,0.21
EG_CCGT,2024,INDIA,SR,0.0
EG_CCGT,2024,INDIA,WR,0.0
EG_CCGT,2025,INDIA,ER,0.0
EG_CCGT,2025,INDIA,NER,0.0
EG_CCGT,2025,INDIA,NR,0.21
EG_CCGT,2025,INDIA,SR,0.0
EG_CCGT,2025,INDIA,WR,0.0
EG_CCGT,2026,INDIA,ER,0.0
EG_CCGT,2026,INDIA,NER,0.0
EG_CCGT,2026,INDIA,NR,0.21
EG_CCGT,2026,INDIA,SR,0.0
EG_CCGT,2026,INDIA,WR,0.0
EG_CCGT,2027,INDIA,ER,0.0
EG_CCGT,2027,INDIA,NER,0.0
EG_CCGT,2027,INDIA,NR,0.21
EG_CCGT,2027,INDIA,SR,0.0
EG_CCGT,2027,INDIA,WR,0.0
EG_CCGT,2028,INDIA,ER,0.0
EG_CCGT,2028,INDIA,NER,0.0
EG_CCGT,2028,INDIA,NR,0.0
EG_CCGT,2028,INDIA,SR,0.0
EG_CCGT,2028,INDIA,WR,0.0
EG_CCGT,2029,INDIA,ER,0.0
EG_CCGT,2029,INDIA,NER,0.0
EG_CCGT,2029,INDIA,NR,0.0
EG_CCGT,2029,INDIA,SR,0.0
EG_CCGT,2029,INDIA,WR,0.0
EG_CCGT,2030,INDIA,ER,0.0
EG_CCGT,2030,INDIA,NER,0.0
EG_CCGT,2030,INDIA,NR,0.0
EG_CCGT,2030,INDIA,SR,0.0
EG_CCGT,2030,INDIA,WR,0.0
EG_CCGT,2031,INDIA,ER,0.0
EG_CCGT,2031,INDIA,NER,0.0
EG_CCGT,2031,INDIA,NR,0.0
EG_CCGT,2031,INDIA,SR,0.0
EG_CCGT,2031,INDIA,WR,0.0
