EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,ImpPECCostInBT_BA
COKING_COAL,2021,,,,INDIA,ER,491375.1468489418
COKING_COAL,2021,,,,INDIA,WR,32421.90935911106
COKING_COAL,2021,,,,INDIA,NR,0.0
COKING_COAL,2021,,,,INDIA,SR,10526.570285156697
COKING_COAL,2021,,,,INDIA,NER,0.0
COKING_COAL,2022,,,,INDIA,ER,530879.6144396269
COKING_COAL,2022,,,,INDIA,WR,35509.445653211355
COKING_COAL,2022,,,,INDIA,NR,0.0
COKING_COAL,2022,,,,INDIA,SR,11519.685510116216
COKING_COAL,2022,,,,INDIA,NER,0.0
COKING_COAL,2023,,,,INDIA,ER,558854.9327764732
COKING_COAL,2023,,,,INDIA,WR,37901.09509036651
COKING_COAL,2023,,,,INDIA,NR,0.0
COKING_COAL,2023,,,,INDIA,SR,12283.524631129061
COKING_COAL,2023,,,,INDIA,NER,0.0
COKING_COAL,2024,,,,INDIA,ER,586725.5969345386
COKING_COAL,2024,,,,INDIA,WR,40350.92314361018
COKING_COAL,2024,,,,INDIA,NR,0.0
COKING_COAL,2024,,,,INDIA,SR,13063.0839045215
COKING_COAL,2024,,,,INDIA,NER,0.0
COKING_COAL,2025,,,,INDIA,ER,616240.7532231509
COKING_COAL,2025,,,,INDIA,WR,42979.87361340723
COKING_COAL,2025,,,,INDIA,NR,0.0
COKING_COAL,2025,,,,INDIA,SR,13897.596251054785
COKING_COAL,2025,,,,INDIA,NER,0.0
COKING_COAL,2026,,,,INDIA,ER,645705.4115132734
COKING_COAL,2026,,,,INDIA,WR,45678.053496722736
COKING_COAL,2026,,,,INDIA,NR,0.0
COKING_COAL,2026,,,,INDIA,SR,14750.617060657705
COKING_COAL,2026,,,,INDIA,NER,0.0
COKING_COAL,2027,,,,INDIA,ER,675906.7473593354
COKING_COAL,2027,,,,INDIA,WR,48502.68445610389
COKING_COAL,2027,,,,INDIA,NR,0.0
COKING_COAL,2027,,,,INDIA,SR,15640.448575491217
COKING_COAL,2027,,,,INDIA,NER,0.0
COKING_COAL,2028,,,,INDIA,ER,707476.4330323088
COKING_COAL,2028,,,,INDIA,WR,51504.232106896074
COKING_COAL,2028,,,,INDIA,NR,0.0
COKING_COAL,2028,,,,INDIA,SR,16582.9114252411
COKING_COAL,2028,,,,INDIA,NER,0.0
COKING_COAL,2029,,,,INDIA,ER,740474.0455863388
COKING_COAL,2029,,,,INDIA,WR,54693.91794638285
COKING_COAL,2029,,,,INDIA,NR,0.0
COKING_COAL,2029,,,,INDIA,SR,17581.045046969404
COKING_COAL,2029,,,,INDIA,NER,0.0
COKING_COAL,2030,,,,INDIA,ER,774961.6245913093
COKING_COAL,2030,,,,INDIA,WR,58083.68207013687
COKING_COAL,2030,,,,INDIA,NR,0.0
COKING_COAL,2030,,,,INDIA,SR,18638.059313132388
COKING_COAL,2030,,,,INDIA,NER,0.0
COKING_COAL,2031,,,,INDIA,ER,811003.7681357483
COKING_COAL,2031,,,,INDIA,WR,61686.22930709816
COKING_COAL,2031,,,,INDIA,NR,0.0
COKING_COAL,2031,,,,INDIA,SR,19757.343744767873
COKING_COAL,2031,,,,INDIA,NER,0.0
STEAM_COAL,2021,,,,INDIA,ER,0.0
STEAM_COAL,2021,,,,INDIA,WR,0.0
STEAM_COAL,2021,,,,INDIA,NR,43406.235495044384
STEAM_COAL,2021,,,,INDIA,SR,574556.7249592221
STEAM_COAL,2021,,,,INDIA,NER,0.0
STEAM_COAL,2022,,,,INDIA,ER,0.0
STEAM_COAL,2022,,,,INDIA,WR,0.0
STEAM_COAL,2022,,,,INDIA,NR,116086.06115319702
STEAM_COAL,2022,,,,INDIA,SR,596362.6042600129
STEAM_COAL,2022,,,,INDIA,NER,0.0
STEAM_COAL,2023,,,,INDIA,ER,0.0
STEAM_COAL,2023,,,,INDIA,WR,0.0
STEAM_COAL,2023,,,,INDIA,NR,141043.00841705062
STEAM_COAL,2023,,,,INDIA,SR,456174.0938311415
STEAM_COAL,2023,,,,INDIA,NER,0.0
STEAM_COAL,2024,,,,INDIA,ER,0.0
STEAM_COAL,2024,,,,INDIA,WR,0.0
STEAM_COAL,2024,,,,INDIA,NR,12204.081398327702
STEAM_COAL,2024,,,,INDIA,SR,464038.26597978873
STEAM_COAL,2024,,,,INDIA,NER,0.0
STEAM_COAL,2025,,,,INDIA,ER,0.0
STEAM_COAL,2025,,,,INDIA,WR,0.0
STEAM_COAL,2025,,,,INDIA,NR,0.0
STEAM_COAL,2025,,,,INDIA,SR,436311.5007330826
STEAM_COAL,2025,,,,INDIA,NER,0.0
STEAM_COAL,2026,,,,INDIA,ER,0.0
STEAM_COAL,2026,,,,INDIA,WR,0.0
STEAM_COAL,2026,,,,INDIA,NR,0.0
STEAM_COAL,2026,,,,INDIA,SR,420192.11682593316
STEAM_COAL,2026,,,,INDIA,NER,0.0
STEAM_COAL,2027,,,,INDIA,ER,0.0
STEAM_COAL,2027,,,,INDIA,WR,0.0
STEAM_COAL,2027,,,,INDIA,NR,0.0
STEAM_COAL,2027,,,,INDIA,SR,371571.5193528265
STEAM_COAL,2027,,,,INDIA,NER,0.0
STEAM_COAL,2028,,,,INDIA,ER,0.0
STEAM_COAL,2028,,,,INDIA,WR,0.0
STEAM_COAL,2028,,,,INDIA,NR,0.0
STEAM_COAL,2028,,,,INDIA,SR,354319.4830241699
STEAM_COAL,2028,,,,INDIA,NER,0.0
STEAM_COAL,2029,,,,INDIA,ER,0.0
STEAM_COAL,2029,,,,INDIA,WR,0.0
STEAM_COAL,2029,,,,INDIA,NR,0.0
STEAM_COAL,2029,,,,INDIA,SR,342112.86889872496
STEAM_COAL,2029,,,,INDIA,NER,0.0
STEAM_COAL,2030,,,,INDIA,ER,0.0
STEAM_COAL,2030,,,,INDIA,WR,0.0
STEAM_COAL,2030,,,,INDIA,NR,0.0
STEAM_COAL,2030,,,,INDIA,SR,311631.0929656067
STEAM_COAL,2030,,,,INDIA,NER,0.0
STEAM_COAL,2031,,,,INDIA,ER,0.0
STEAM_COAL,2031,,,,INDIA,WR,0.0
STEAM_COAL,2031,,,,INDIA,NR,0.0
STEAM_COAL,2031,,,,INDIA,SR,348155.2665014022
STEAM_COAL,2031,,,,INDIA,NER,0.0
NATGAS,2021,,,,INDIA,,71527.6971772712
NATGAS,2022,,,,INDIA,,109536.35910276831
NATGAS,2023,,,,INDIA,,136052.26694784145
NATGAS,2024,,,,INDIA,,164996.43245494264
NATGAS,2025,,,,INDIA,,195908.27049382104
NATGAS,2026,,,,INDIA,,231038.49537710394
NATGAS,2027,,,,INDIA,,298754.3451819103
NATGAS,2028,,,,INDIA,,318938.22054954106
NATGAS,2029,,,,INDIA,,399651.13663604244
NATGAS,2030,,,,INDIA,,468045.6688900648
NATGAS,2031,,,,INDIA,,487280.7692909928
BIOGAS,2021,,,,INDIA,,0.0
BIOGAS,2022,,,,INDIA,,0.0
BIOGAS,2023,,,,INDIA,,0.0
BIOGAS,2024,,,,INDIA,,0.0
BIOGAS,2025,,,,INDIA,,0.0
BIOGAS,2026,,,,INDIA,,0.0
BIOGAS,2027,,,,INDIA,,0.0
BIOGAS,2028,,,,INDIA,,0.0
BIOGAS,2029,,,,INDIA,,0.0
