ServiceTech,ConsumerType1,ConsumerType2,ModelGeography,SubGeography1,SubGeography2,EfficiencyLevelName,Year,SplitShare
LIGHT_ELEC,URBAN,Q1,INDIA,SR,AP,INCAND,2021,0.09697414
LIGHT_ELEC,RURAL,Q1,INDIA,SR,AP,INCAND,2021,0.09697414
LIGHT_ELEC,URBAN,Q1,INDIA,ER,BR,INCAND,2021,0.09697414
LIGHT_ELEC,RURAL,Q1,INDIA,ER,BR,INCAND,2021,0.09697414
LIGHT_ELEC,URBAN,Q1,INDIA,ER,JH,INCAND,2021,0.09697414
LIGHT_ELEC,RURAL,Q1,INDIA,ER,JH,INCAND,2021,0.09697414
LIGHT_ELEC,URBAN,Q1,INDIA,NER,AS,INCAND,2021,0.09697414
LIGHT_ELEC,RURAL,Q1,INDIA,NER,AS,INCAND,2021,0.09697414
LIGHT_ELEC,URBAN,Q1,INDIA,WR,CG,INCAND,2021,0.09697414
LIGHT_ELEC,RURAL,Q1,INDIA,WR,CG,INCAND,2021,0.09697414
LIGHT_ELEC,URBAN,Q1,INDIA,WR,GJ,INCAND,2021,0.09697414
LIGHT_ELEC,RURAL,Q1,INDIA,WR,GJ,INCAND,2021,0.09697414
LIGHT_ELEC,URBAN,Q1,INDIA,WR,MP,INCAND,2021,0.09697414
LIGHT_ELEC,RURAL,Q1,INDIA,WR,MP,INCAND,2021,0.09697414
LIGHT_ELEC,URBAN,Q1,INDIA,WR,GA,INCAND,2021,0.09697414
LIGHT_ELEC,RURAL,Q1,INDIA,WR,GA,INCAND,2021,0.09697414
LIGHT_ELEC,URBAN,Q1,INDIA,NR,HR,INCAND,2021,0.09697414
LIGHT_ELEC,RURAL,Q1,INDIA,NR,HR,INCAND,2021,0.09697414
LIGHT_ELEC,URBAN,Q1,INDIA,SR,KA,INCAND,2021,0.09697414
LIGHT_ELEC,RURAL,Q1,INDIA,SR,KA,INCAND,2021,0.09697414
LIGHT_ELEC,URBAN,Q1,INDIA,NR,HP,INCAND,2021,0.09697414
LIGHT_ELEC,RURAL,Q1,INDIA,NR,HP,INCAND,2021,0.09697414
LIGHT_ELEC,URBAN,Q1,INDIA,SR,KL,INCAND,2021,0.09697414
LIGHT_ELEC,RURAL,Q1,INDIA,SR,KL,INCAND,2021,0.09697414
LIGHT_ELEC,URBAN,Q1,INDIA,NR,JK,INCAND,2021,0.09697414
LIGHT_ELEC,RURAL,Q1,INDIA,NR,JK,INCAND,2021,0.09697414
LIGHT_ELEC,URBAN,Q1,INDIA,WR,MH,INCAND,2021,0.09697414
LIGHT_ELEC,RURAL,Q1,INDIA,WR,MH,INCAND,2021,0.09697414
LIGHT_ELEC,URBAN,Q1,INDIA,ER,OD,INCAND,2021,0.09697414
LIGHT_ELEC,RURAL,Q1,INDIA,ER,OD,INCAND,2021,0.09697414
LIGHT_ELEC,URBAN,Q1,INDIA,NR,PB,INCAND,2021,0.09697414
LIGHT_ELEC,RURAL,Q1,INDIA,NR,PB,INCAND,2021,0.09697414
