EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,PECCostInBT_BA
COKING_COAL,2021,,,,INDIA,ER,491375.1468489418
COKING_COAL,2021,,,,INDIA,WR,32421.90935911106
COKING_COAL,2021,,,,INDIA,NR,0.0
COKING_COAL,2021,,,,INDIA,SR,10526.570285156697
COKING_COAL,2021,,,,INDIA,NER,0.0
COKING_COAL,2022,,,,INDIA,ER,530879.6144396269
COKING_COAL,2022,,,,INDIA,WR,35509.445653211355
COKING_COAL,2022,,,,INDIA,NR,0.0
COKING_COAL,2022,,,,INDIA,SR,11519.685510116216
COKING_COAL,2022,,,,INDIA,NER,0.0
COKING_COAL,2023,,,,INDIA,ER,558854.9327764732
COKING_COAL,2023,,,,INDIA,WR,37901.09509036651
COKING_COAL,2023,,,,INDIA,NR,0.0
COKING_COAL,2023,,,,INDIA,SR,12283.524631129061
COKING_COAL,2023,,,,INDIA,NER,0.0
COKING_COAL,2024,,,,INDIA,ER,586725.5969345386
COKING_COAL,2024,,,,INDIA,WR,40350.92314361018
COKING_COAL,2024,,,,INDIA,NR,0.0
COKING_COAL,2024,,,,INDIA,SR,13063.0839045215
COKING_COAL,2024,,,,INDIA,NER,0.0
COKING_COAL,2025,,,,INDIA,ER,616240.7532231509
COKING_COAL,2025,,,,INDIA,WR,42979.87361340723
COKING_COAL,2025,,,,INDIA,NR,0.0
COKING_COAL,2025,,,,INDIA,SR,13897.596251054785
COKING_COAL,2025,,,,INDIA,NER,0.0
COKING_COAL,2026,,,,INDIA,ER,645705.4115132734
COKING_COAL,2026,,,,INDIA,WR,45678.053496722736
COKING_COAL,2026,,,,INDIA,NR,0.0
COKING_COAL,2026,,,,INDIA,SR,14750.617060657705
COKING_COAL,2026,,,,INDIA,NER,0.0
COKING_COAL,2027,,,,INDIA,ER,675906.7473593354
COKING_COAL,2027,,,,INDIA,WR,48502.68445610389
COKING_COAL,2027,,,,INDIA,NR,0.0
COKING_COAL,2027,,,,INDIA,SR,15640.448575491217
COKING_COAL,2027,,,,INDIA,NER,0.0
COKING_COAL,2028,,,,INDIA,ER,707476.4330323088
COKING_COAL,2028,,,,INDIA,WR,51504.232106896074
COKING_COAL,2028,,,,INDIA,NR,0.0
COKING_COAL,2028,,,,INDIA,SR,16582.9114252411
COKING_COAL,2028,,,,INDIA,NER,0.0
COKING_COAL,2029,,,,INDIA,ER,740474.0455863388
COKING_COAL,2029,,,,INDIA,WR,54693.91794638285
COKING_COAL,2029,,,,INDIA,NR,0.0
COKING_COAL,2029,,,,INDIA,SR,17581.045046969404
COKING_COAL,2029,,,,INDIA,NER,0.0
COKING_COAL,2030,,,,INDIA,ER,774961.6245913093
COKING_COAL,2030,,,,INDIA,WR,58083.68207013687
COKING_COAL,2030,,,,INDIA,NR,0.0
COKING_COAL,2030,,,,INDIA,SR,18638.059313132388
COKING_COAL,2030,,,,INDIA,NER,0.0
COKING_COAL,2031,,,,INDIA,ER,811003.7681357483
COKING_COAL,2031,,,,INDIA,WR,61686.22930709816
COKING_COAL,2031,,,,INDIA,NR,0.0
COKING_COAL,2031,,,,INDIA,SR,19757.343744767873
COKING_COAL,2031,,,,INDIA,NER,0.0
STEAM_COAL,2021,,,,INDIA,ER,800759.9880907306
STEAM_COAL,2021,,,,INDIA,WR,1053009.87404475
STEAM_COAL,2021,,,,INDIA,NR,461233.71415258583
STEAM_COAL,2021,,,,INDIA,SR,866842.5529656896
STEAM_COAL,2021,,,,INDIA,NER,13808.692967729197
STEAM_COAL,2022,,,,INDIA,ER,843229.5553993528
STEAM_COAL,2022,,,,INDIA,WR,1109256.375634659
STEAM_COAL,2022,,,,INDIA,NR,482962.56699836836
STEAM_COAL,2022,,,,INDIA,SR,948868.6152482589
STEAM_COAL,2022,,,,INDIA,NER,13830.956541710118
STEAM_COAL,2023,,,,INDIA,ER,902984.1816537835
STEAM_COAL,2023,,,,INDIA,WR,1168507.9641515405
STEAM_COAL,2023,,,,INDIA,NR,372626.45621403365
STEAM_COAL,2023,,,,INDIA,SR,926710.323003885
STEAM_COAL,2023,,,,INDIA,NER,10894.102870989063
STEAM_COAL,2024,,,,INDIA,ER,941902.5150693345
STEAM_COAL,2024,,,,INDIA,WR,1230984.9841065693
STEAM_COAL,2024,,,,INDIA,NR,390469.28267034073
STEAM_COAL,2024,,,,INDIA,SR,873784.96755344
STEAM_COAL,2024,,,,INDIA,NER,8804.65735776609
STEAM_COAL,2025,,,,INDIA,ER,984594.1316493471
STEAM_COAL,2025,,,,INDIA,WR,1296823.9507118827
STEAM_COAL,2025,,,,INDIA,NR,364229.46009207494
STEAM_COAL,2025,,,,INDIA,SR,870177.0883552248
STEAM_COAL,2025,,,,INDIA,NER,5275.089591036899
STEAM_COAL,2026,,,,INDIA,ER,1028142.586244259
STEAM_COAL,2026,,,,INDIA,WR,1284239.1872679046
STEAM_COAL,2026,,,,INDIA,NR,352512.01913788624
STEAM_COAL,2026,,,,INDIA,SR,898530.789393049
STEAM_COAL,2026,,,,INDIA,NER,5013.786835067067
STEAM_COAL,2027,,,,INDIA,ER,1061012.0465661574
STEAM_COAL,2027,,,,INDIA,WR,1307074.8341162559
STEAM_COAL,2027,,,,INDIA,NR,331851.4961588608
STEAM_COAL,2027,,,,INDIA,SR,901495.3174945676
STEAM_COAL,2027,,,,INDIA,NER,6647.0032919983205
STEAM_COAL,2028,,,,INDIA,ER,1079891.2420103382
STEAM_COAL,2028,,,,INDIA,WR,1380304.083528938
STEAM_COAL,2028,,,,INDIA,NR,331112.47179558914
STEAM_COAL,2028,,,,INDIA,SR,897515.7887990385
STEAM_COAL,2028,,,,INDIA,NER,5232.092284223016
STEAM_COAL,2029,,,,INDIA,ER,1117183.7594249838
STEAM_COAL,2029,,,,INDIA,WR,1441591.2913108144
STEAM_COAL,2029,,,,INDIA,NR,360027.37127779773
STEAM_COAL,2029,,,,INDIA,SR,937041.395135283
STEAM_COAL,2029,,,,INDIA,NER,5224.38065710482
STEAM_COAL,2030,,,,INDIA,ER,1147980.862751775
STEAM_COAL,2030,,,,INDIA,WR,1484588.180361847
STEAM_COAL,2030,,,,INDIA,NR,394594.4609091116
STEAM_COAL,2030,,,,INDIA,SR,968234.2473891212
STEAM_COAL,2030,,,,INDIA,NER,6094.41168353801
STEAM_COAL,2031,,,,INDIA,ER,1178296.9824646513
STEAM_COAL,2031,,,,INDIA,WR,1529501.4412038806
STEAM_COAL,2031,,,,INDIA,NR,522289.5639826263
STEAM_COAL,2031,,,,INDIA,SR,1001752.5962161969
STEAM_COAL,2031,,,,INDIA,NER,8913.852068437109
NATGAS,2021,,,,INDIA,,430857.0488812864
NATGAS,2022,,,,INDIA,,486435.7958992883
NATGAS,2023,,,,INDIA,,523156.55211785046
NATGAS,2024,,,,INDIA,,584500.3829785839
NATGAS,2025,,,,INDIA,,640418.4838861041
NATGAS,2026,,,,INDIA,,709809.1790727853
NATGAS,2027,,,,INDIA,,784907.3217942012
NATGAS,2028,,,,INDIA,,835428.2109539006
NATGAS,2029,,,,INDIA,,929009.9766623862
NATGAS,2030,,,,INDIA,,1010834.6136257374
NATGAS,2031,,,,INDIA,,1070022.2627216242
BIOGAS,2021,,,,INDIA,,17546.940840270774
