EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,DomesticPrice
CRUDE,2021,,,,INDIA,,18704.03459
CRUDE,2022,,,,INDIA,,20184.09298
CRUDE,2023,,,,INDIA,,22984.9815
CRUDE,2024,,,,INDIA,,24020.01073
CRUDE,2025,,,,INDIA,,25136.15015
CRUDE,2026,,,,INDIA,,26237.44607
CRUDE,2027,,,,INDIA,,27383.88007
CRUDE,2028,,,,INDIA,,28580.40702
CRUDE,2029,,,,INDIA,,29829.21571
CRUDE,2030,,,,INDIA,,31132.59055
CRUDE,2031,,,,INDIA,,32492.9158
BIOMASS,2021,,,,INDIA,,3576.897858
BIOMASS,2022,,,,INDIA,,3659.931161
BIOMASS,2023,,,,INDIA,,3746.105731
BIOMASS,2024,,,,INDIA,,3833.678688
BIOMASS,2025,,,,INDIA,,3923.210754
BIOMASS,2026,,,,INDIA,,4015.298456
BIOMASS,2027,,,,INDIA,,4111.023444
BIOMASS,2028,,,,INDIA,,4207.595139
BIOMASS,2029,,,,INDIA,,4304.986099
BIOMASS,2030,,,,INDIA,,4403.168825
BIOMASS,2031,,,,INDIA,,4502.115784
BIOGAS,2021,,,,INDIA,,35234.01612
BIOGAS,2022,,,,INDIA,,35717.7527
BIOGAS,2023,,,,INDIA,,36188.11914
BIOGAS,2024,,,,INDIA,,36686.91238
BIOGAS,2025,,,,INDIA,,37171.70968
BIOGAS,2026,,,,INDIA,,37675.0645
BIOGAS,2027,,,,INDIA,,38193.57665
BIOGAS,2028,,,,INDIA,,38714.09218
BIOGAS,2029,,,,INDIA,,39242.71565
BIOGAS,2030,,,,INDIA,,39779.52731
BIOGAS,2031,,,,INDIA,,40324.60717
NATGAS,2021,,,,INDIA,,7394.1524811
NATGAS,2022,,,,INDIA,,7763.8601052
NATGAS,2023,,,,INDIA,,8152.0531101
NATGAS,2024,,,,INDIA,,8559.6557661
NATGAS,2025,,,,INDIA,,8987.638554
NATGAS,2026,,,,INDIA,,9437.020479
NATGAS,2027,,,,INDIA,,9908.871507
NATGAS,2028,,,,INDIA,,10404.315081
NATGAS,2029,,,,INDIA,,10924.53084
NATGAS,2030,,,,INDIA,,11470.757373
NATGAS,2031,,,,INDIA,,12044.295243
STEAM_COAL,2021,,,,INDIA,ER,1052.2053963
STEAM_COAL,2021,,,,INDIA,WR,1052.2053963
STEAM_COAL,2021,,,,INDIA,NR,1052.2053963
STEAM_COAL,2021,,,,INDIA,SR,1052.2053963
STEAM_COAL,2021,,,,INDIA,NER,1052.2053963
STEAM_COAL,2022,,,,INDIA,ER,1062.7274502
STEAM_COAL,2022,,,,INDIA,WR,1062.7274502
STEAM_COAL,2022,,,,INDIA,NR,1062.7274502
STEAM_COAL,2022,,,,INDIA,SR,1062.7274502
STEAM_COAL,2022,,,,INDIA,NER,1062.7274502
STEAM_COAL,2023,,,,INDIA,ER,1073.354724
STEAM_COAL,2023,,,,INDIA,WR,1073.354724
STEAM_COAL,2023,,,,INDIA,NR,1073.354724
STEAM_COAL,2023,,,,INDIA,SR,1073.354724
STEAM_COAL,2023,,,,INDIA,NER,1073.354724
STEAM_COAL,2024,,,,INDIA,ER,1084.0882716
STEAM_COAL,2024,,,,INDIA,WR,1084.0882716
STEAM_COAL,2024,,,,INDIA,NR,1084.0882716
STEAM_COAL,2024,,,,INDIA,SR,1084.0882716
STEAM_COAL,2024,,,,INDIA,NER,1084.0882716
STEAM_COAL,2025,,,,INDIA,ER,1094.9291541
STEAM_COAL,2025,,,,INDIA,WR,1094.9291541
STEAM_COAL,2025,,,,INDIA,NR,1094.9291541
STEAM_COAL,2025,,,,INDIA,SR,1094.9291541
STEAM_COAL,2025,,,,INDIA,NER,1094.9291541
STEAM_COAL,2026,,,,INDIA,ER,1105.8784461
STEAM_COAL,2026,,,,INDIA,WR,1105.8784461
STEAM_COAL,2026,,,,INDIA,NR,1105.8784461
STEAM_COAL,2026,,,,INDIA,SR,1105.8784461
STEAM_COAL,2026,,,,INDIA,NER,1105.8784461
STEAM_COAL,2027,,,,INDIA,ER,1116.9372303
STEAM_COAL,2027,,,,INDIA,WR,1116.9372303
STEAM_COAL,2027,,,,INDIA,NR,1116.9372303
STEAM_COAL,2027,,,,INDIA,SR,1116.9372303
STEAM_COAL,2027,,,,INDIA,NER,1116.9372303
STEAM_COAL,2028,,,,INDIA,ER,1128.1066029
STEAM_COAL,2028,,,,INDIA,WR,1128.1066029
STEAM_COAL,2028,,,,INDIA,NR,1128.1066029
STEAM_COAL,2028,,,,INDIA,SR,1128.1066029
STEAM_COAL,2028,,,,INDIA,NER,1128.1066029
STEAM_COAL,2029,,,,INDIA,ER,1139.3876691
STEAM_COAL,2029,,,,INDIA,WR,1139.3876691
STEAM_COAL,2029,,,,INDIA,NR,1139.3876691
STEAM_COAL,2029,,,,INDIA,SR,1139.3876691
STEAM_COAL,2029,,,,INDIA,NER,1139.3876691
STEAM_COAL,2030,,,,INDIA,ER,1150.7815458
STEAM_COAL,2030,,,,INDIA,WR,1150.7815458
STEAM_COAL,2030,,,,INDIA,NR,1150.7815458
STEAM_COAL,2030,,,,INDIA,SR,1150.7815458
STEAM_COAL,2030,,,,INDIA,NER,1150.7815458
STEAM_COAL,2031,,,,INDIA,ER,1162.2893607
STEAM_COAL,2031,,,,INDIA,WR,1162.2893607
STEAM_COAL,2031,,,,INDIA,NR,1162.2893607
STEAM_COAL,2031,,,,INDIA,SR,1162.2893607
STEAM_COAL,2031,,,,INDIA,NER,1162.2893607
COKING_COAL,2021,,,,INDIA,ER,0.0
COKING_COAL,2021,,,,INDIA,WR,0.0
COKING_COAL,2021,,,,INDIA,NR,0.0
COKING_COAL,2021,,,,INDIA,SR,0.0
COKING_COAL,2021,,,,INDIA,NER,0.0
COKING_COAL,2022,,,,INDIA,ER,0.0
COKING_COAL,2022,,,,INDIA,WR,0.0
COKING_COAL,2022,,,,INDIA,NR,0.0
COKING_COAL,2022,,,,INDIA,SR,0.0
COKING_COAL,2022,,,,INDIA,NER,0.0
COKING_COAL,2023,,,,INDIA,ER,0.0
COKING_COAL,2023,,,,INDIA,WR,0.0
COKING_COAL,2023,,,,INDIA,NR,0.0
COKING_COAL,2023,,,,INDIA,SR,0.0
COKING_COAL,2023,,,,INDIA,NER,0.0
COKING_COAL,2024,,,,INDIA,ER,0.0
COKING_COAL,2024,,,,INDIA,WR,0.0
COKING_COAL,2024,,,,INDIA,NR,0.0
COKING_COAL,2024,,,,INDIA,SR,0.0
COKING_COAL,2024,,,,INDIA,NER,0.0
COKING_COAL,2025,,,,INDIA,ER,0.0
COKING_COAL,2025,,,,INDIA,WR,0.0
COKING_COAL,2025,,,,INDIA,NR,0.0
COKING_COAL,2025,,,,INDIA,SR,0.0
COKING_COAL,2025,,,,INDIA,NER,0.0
COKING_COAL,2026,,,,INDIA,ER,0.0
COKING_COAL,2026,,,,INDIA,WR,0.0
COKING_COAL,2026,,,,INDIA,NR,0.0
COKING_COAL,2026,,,,INDIA,SR,0.0
COKING_COAL,2026,,,,INDIA,NER,0.0
COKING_COAL,2027,,,,INDIA,ER,0.0
COKING_COAL,2027,,,,INDIA,WR,0.0
COKING_COAL,2027,,,,INDIA,NR,0.0
COKING_COAL,2027,,,,INDIA,SR,0.0
COKING_COAL,2027,,,,INDIA,NER,0.0
COKING_COAL,2028,,,,INDIA,ER,0.0
COKING_COAL,2028,,,,INDIA,WR,0.0
COKING_COAL,2028,,,,INDIA,NR,0.0
COKING_COAL,2028,,,,INDIA,SR,0.0
COKING_COAL,2028,,,,INDIA,NER,0.0
COKING_COAL,2029,,,,INDIA,ER,0.0
COKING_COAL,2029,,,,INDIA,WR,0.0
COKING_COAL,2029,,,,INDIA,NR,0.0
COKING_COAL,2029,,,,INDIA,SR,0.0
COKING_COAL,2029,,,,INDIA,NER,0.0
COKING_COAL,2030,,,,INDIA,ER,0.0
COKING_COAL,2030,,,,INDIA,WR,0.0
COKING_COAL,2030,,,,INDIA,NR,0.0
COKING_COAL,2030,,,,INDIA,SR,0.0
COKING_COAL,2030,,,,INDIA,NER,0.0
COKING_COAL,2031,,,,INDIA,ER,0.0
COKING_COAL,2031,,,,INDIA,WR,0.0
COKING_COAL,2031,,,,INDIA,NR,0.0
COKING_COAL,2031,,,,INDIA,SR,0.0
COKING_COAL,2031,,,,INDIA,NER,0.0
